AZIENDA;SEDE;INDIRIZZO;WEB;MAIL;Fatturato 
Muzzin Marco Srl;Fiume Veneto;Via Piave, 86 fraz. Bannia;www.muzzin.it;;
Fratelli Picco Srl;Flaibano;Via S. odorico, 5;www.fratellipicco.it;info@fratellipicco.it;
B.G.B. Group Srl;Fontanafredda;Viale Venezia, 79/d;www.bgbgroup.it;info@bgbgroup.it;
Bimea Steel Srl;Fontanafredda;Via Fossaluzza, 2;www.bimeasteel.com;info@bimeasteel.com;
CarliEuklima srl;Fontanafredda;Via Fossaluzza, 12;www.carlieuklima.it;commerciale@carlieuklima.it;
Copat Life Srl;Fontanafredda;Via E. Chiaradia, 11/A;www.copatlife.it;info@copatlife.it;
Felis Srl;Fontanafredda;Via Pietro Zorutti, 22;www.felis.it;info@felis.it;
Modulart Srl;Fontanafredda;via Domenico Guerrazzi, 1/B;www.modulartsrl.com;;
Normann Srl;Fontanafredda;via Guglielmo Oberdan, 69;www.normann.it;info@normann.it;
U.G.S. Spa;Fontanafredda;via Pietro Zorutti, 11;www.ugs-stampaggi.it;info@ugs-stampaggi.it;
Complast Srl;Forni di Sotto;Zona Artigianale Industriale, 20;www.complastsrl.com;info@complastsrl.com;
Farbe Srl;Majano;Via degli Alpini;www.farbe.it;info@farbe.it;16.403.000 €
Meccaniche Del Mistro Srl;Maniago;via Monfalcone, 10;www.meccanichedelmistro.it;info@delmistro.it;
Montbel;Manzano;Via delle Scuole 30;www.montbel.it;montbel@montbel.it;
Luvisoni Legnami Srl;Martignacco;Via Spilimbergo, 168;www.luvisoni.it;info@luvisoni.it;9.434.000 €
Zanini Antonio;Martignacco;Via Spilimbergo, 164;www.zaniniantonio.it;info@zaniniantonio.it;5.741.000 €
ArtCart Srl;Moggio Udinese;Via degli Alpini, 6;www.artcart.it;info@artcart.it;
PPM Srl;Pagnacco;Via Colloredo, 80;www.ppmsrl.it;info@ppmsrl.it;
Battellino Srl;Paluzza;Località PIP Rivo;www.battellino.com;info@battellino.it;
Omniadoc Spa;Pasian di Prato;Via Moretti, 10;https://www.omniadoc.it;info@omniadoc.it;
Cubik Service Srl;Pasiano di Pordenone;via Maestri del Lavoro, 2;www.cubikservice.com;info@cubikservice.com;
Fiard Due Srl;Pasiano di Pordenone;via Margherita Hack, 4;www.fiardue.com;;
Meson's Cucine Srl;Pasiano di Pordenone;via Gradisca, 1;www.mesons.it;mesons@mesons.it;
Area 98 srl;Pavia di Udine;Via della Ferrovia, 3;www.area98.it;info@area98.it;
Diemme Legno;Pontebba;;;;
Archeda Srl;Porcia;Via A. malignani, 7;www.archeda.eu;info@archeda.eu;
Clever Chem Srl;Porcia;Via del Laghetto, 40;www.cleverchem.it;info@cleverchem.it;
Cosma Group Srl;Porcia;Via Luigi Galvani, 15;www.cosmagroup.com;infocom@cosmagroup.com;
Elleci Spa;Porcia;Via Pieve, 25;www.ellecispa.net;info@ellecispa.net;
Ge.Da. Srl;Porcia;Via Maestri del Lavoro, 16/18;www.gedanextage.com;info@gedanextage.com;
Gruppo Prisma Srl;Porcia;Via Pieve, 14/A;www.gruppoprisma.com;info@gruppoprisma.com;
Oesse Srl;Porcia;Via Maestri del Lavoro, 81/83;www.oesse.com;;
Rosa Spa;Porcia;Corso Italia, 52;www.rosagroup.com;;
San Simone di Brisotto Srl;Porcia;Via Prata, 30;www.sansimone.it;info@sansimone.it;
Daco Wood Srl;Pordenone;Piazzetta Cardinale Celso Costantini, 24;www.dacowood.it;info@dacowood.it;
Europavimenti Srl;Pordenone;Via T. Donadon, 4;www.europavimenti.it;info@europavimenti.it;
IMS Group;Pozzuolo del Friuli;Via Madonna della Salute, 23;https://www.iess.dental;info@iess.dental;
Ergoplast Srl;Pradamano;Via Cussignacco, 78/1;www.ergoplast.it;;
Esterna Servizi Srl;Pradamano;Via Cussignacco, 78;www.esternaservizi.it;info@esternaservizi.it;9.269.000 €
Arcadia Società Agricola SRL;Prata di Pordenone;Via Garibaldi, 2;www.lemondewine.com;info@lemondewine.com;
Bensen Srl;Prata di Pordenone;Via Enrico Mattei, 32;www.bensen.com;bensen@bensen.com;
Friul Import Srl;Prata di Pordenone;via Friuli, 132;https://www.factoryprogettounico.com;info@factoryprogettounico.com;
Kristalia Srl;Prata di Pordenone;via Antonio Durante, 27;www.kristalia.it;info@kristalia.it;
Maccan Industria Componenti per Mobili Srl;Prata di Pordenone;via Eugenio Rigo, 10;www.maccan.it;commerciale@maccan.it;
Martex Spa;Prata di Pordenone;Via Sagree, 23;www.martex.it;info@martex.it;
MD House Srl;Prata di Pordenone;Via Antonio Durante, 28;www.mdhouse.it;info@mdhouse.it;
Fg Automazioni Srl;Pravisdomini;Via Europa Unita, 22/24;www.fgautomazioni.it;giancarlo.f@fgautomazioni.it;
PSM Srl;Premariacco;Via Bombelli, 12;https://psmitaly.com;info@psmsedie.com;
Baldassi Srl;Ragogna;Via A. Manzoni, 6;www.baldassisrl.it;assistenza@baldassisrl.it;3.154.000 €
Zanier Serramenti di Zanier G.&B.;Raveo;via Roma, Z.A.;www.zanieronline.it;info@zanieronline.it;
Alpe Adria Textil Srl;Remanzacco;Strada di Salt, 50;https://www.alpeadriatextil.it/;info@alpeadriatextil.it;
Diamir Srl;Resia;Via Prato, 28/c;www.diamir.it;info@diamir.it;
La Blueclima Srl;Rive d'Arcano;Via Maseris, 3;www.blueclima.com;info@blueclima.com;1.676.000 €
MTE Elettronica Srl;Rive d'Arcano;Via Maseris, 3;www.mte-elettronica.it;tecnico@mte-elettronica.it;2.341.000 €
Eltec Lift Srl;Ronchi dei Legionari;Via Antonio Tambarin, 36/38;www.elteclift.com;info@elteclift.com;
Agorà Spa;Sacile;Zona Artigianale Geromina, 19;www.edonedesign.it;info@agoragroup.it;
Camelgroup Srl;Sacile;Via Mercato, 2;www.camelgroup.it;info@camelgroup.it;
Dealplast Srl;Sacile;via Alberto Amman, 6;www.dealplast.com;info@dealplast.com;
Doorarreda Srl;Sacile;Via Francenigo, 27;www.doorarreda.it;doorarreda@doorarreda.it;
ICAM Pannelli Srl;Sacile;Zona Artigianale Geromina, 6;www.icampannelli.com;daniela, carlo, roberto, info;
Ices EBM Srl;Sacile;Via A. Malignani, 8;www.icesebm.com;;
Punto Tre Srl;Sacile;Strada San Giovanni Di Livenza, 19/G;www.arredobagnopuntotre.com;info@puntotre.com;
VI. MA. Srl;Sacile;Strada Interna San Giovanni Di Livenza, 20/A;www.vimasrl.com;amministrazione@vimasrl.com;
Toppazzini Spa;San Daniele del Friuli;Via Nazionale, 26;www.toppazzini.it;info@toppazzini.it;102.729.000 €
ElecrtoZeta Srl;San Giorgio della Richinvelda;Via C. Kechler, 12;www.electrozeta.it;commerciale@electrozeta.it;
Buiani Srl;San Giovanni al Natisone;Via Comunale del Rovere, 2;www.buiani.com;info@buiani.com;
Forti Giorgio Srl;San Giovanni al Natisone;Via dell'Artigianato, 16;www.fortigiorgio.com;info@fortigiorgio.com;
Grattoni Srl;San Giovanni al Natisone;Via Braide Matte, 7;www.grattonisedie.it;grattonisedie@gmail.com;
Klarco Srl;San Quirino;Via Masieres, 7;www.klarco.com;amministrazione@klarco.com;
TPS Srl;San Vito al Tagliamento;Via Carnia, 8;www.tpssrl.net;info@tpssrl.net;
Costantini Pietro Srl;San Vito al Torre;Via Remis, 64;https://costantinipietro.com;info@costantinipietro.com;
Yes Spices Srl;Santa Maria la Longa;Via Clauiano, 19;www.yesspices.it;info@yesspices.it;
Friulana Rubinetterie Srl;Spilimbergo;Zona Industriale Cosa, 15A;www.friulanarubinetterie.it;info@friulanarubinetterie.it;
Dierre Srl;Tarcento;Strada Statale 13, km 146;www.dierre-srl.com;info@dierre-srl.com;
Doxe Srl;Tavagnacco;Via Galileo Galilei, 16;www.doxe.it;info@doxeimpianti.it;8.002.000 €
DTI Srl;Tavagnacco;Via Palladio, 11;www.dtindustry.com;project@dtindustry.com;
Tecnomedia Srl;Tavagnacco;Via Galileo Galilei, 42;www.tecnomediasrl.it;info@tecnomediasrl.t;5.926.000 €
Union Energy Scrl;Tavagnacco;Via Udine 115;www.unionenergy.it;info@unionenergy.it;
Comilegno Srl;Teor;Via Belvedere, 30;www.comilegno.com;info@comilegno.com;7.643.000 €
High Tech Exchangers Srl;Teor;Via Max Piccini, 12;www.hteworld.it;info@hteworld.it;8.350.000 €
Akuis Srl;Tolmezzo;Via Menotti Aita, 2-2E;www.akuis.tech;info@akuis.tech;
Cristal Color Srl;Tolmezzo;Via A.P. Candoni, 60;www.cristalcolor.it;;
Fly Solartech Solutions Srl;Tolmezzo;Via dell'Industria, 41/C;www.flysolartechsolutions.com;info@flysolartechsolutions.com ;
Full Metal Snc di Ortis Mirco e Verner;Tolmezzo;Via dell'Industria, 41/H;www.full-metal.it;full-metal@full-metal.it;
Lavorazione Legnami Srl;Tolmezzo;Via dell'Industria, 34;www.lavorazionelegnami.com;info@lavorazionelegnami.com ;
LP Lattonerie Srl;Tolmezzo;Via Brasil, 27;www.lplattonerie.it;info@lplattonerie.it;
Saim Srl Industria Marmi;Tolmezzo;Via dell'Industria, 30;www.saimarmi.it;info@saimarmi.it;
Termonova Spa;Tolmezzo;Via Brasil, 5;www.termonova.net;?;
ATS Mechatronics Srl;Trasaghis;via Chiavola, 10;www.ats.ud.it;ats@ats.ud.it;2.714.000 €
Filmecc Srl;Trasaghis;via delle Roste Nuove, 18;www.filmecc.it;info@filmecc.it;1.339.000 €
Atel Srl;Udine;Via Selvuzzis, 51/2;www.atelitalia.com;info@atelitalia.com;
Dada Srl;Udine;Viale Europa Unita, 171;www.dada.info;treppo@dada.info;5.452.000 €
Kronotech Srl;Udine;Via Adriatica, 284;www.kronotech.it;info@kronotech.it;7.244.000 €
Plaxtech Srl;Udine;Via Sant'Osvaldo, 29;www.plaxtech.eu;staff@plaxtech.eu;
Seltek Srl;Udine;Via Mantica, 7;www.seltekitalia.it;seltekitalia@pec.it;5.195.000 €
FCF Srl;Varmo;via dell'Olmo, 5;www.fcfsrl.eu;info@fcfsrl.eu;
Eurometal Srl;Villa Santina;Via Divisione Julia, 18;www.eurometalsrl-ud.it;eurometal2007@eurometalsrl-ud.191.it;
Sapori Antichi Srl;Villa Santina;Via Comunità Carnica, 19;www.saporiantichisrl.com ;info@saporiantichisrl.com ;
Latteria Montanari Srl;Villesse;Via Aquileia, 2;www.latteriamontanari.it;info@latteriamontanari.it;
Ansagomma Srl;Zoppola;Via Paludo, 8 Poincicco;www.amsagomma.it;info@ansagomma.it;
Derve Srl;Zoppola;Via Fontana, 37;www.derve.it;info@derve.it;
Fama Srl;Zoppola;Via della Fossa, 6;www.famaspa.it;info@famaspa.it;
FGF Mobili Srl;Zoppola;via della Fossa, 2;www.fgfmobili.com;info@fgfmobili.it;
ICOS Professional Srl;Zoppola;via della Lonca, 4;www.icosprofessional.it;info@icosprofessional.it;
Ingross Plast Srl;Zoppola;via Pra' di Risi, 12;www.ingrossplast.com;info@ingrossplast.com;
Noxorsokemgroup Srl;Zoppola;Via Udine, 46;www.noxor.it;info@noxorsokem.it;
Saldoplast Srl;Zoppola;Via Codis, 10;www.saldoplast.net;info@saldoplast.net;
TecnoMark Srl;Zoppola;via Cusano, 18;www.tecnomark.it;info@tecnomark.it;
